lesson_unit_id,lesson_title,lesson_url,proficiency_band,lesson_order
FCN-LSN-0027,Tlamachtiliztli 17 Na nimocehuia pan cuaciyah (I Sit in the Chair),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-15-lesson-15-na-nimocehuia-pan-cuaciyah-i-sit-on-the-chair/,B1,27
FCN-LSN-0028,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (What I Like and Do Not Like),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-caxtolli-huan-ce-lesson-16-nicamati-niccua-matzahtli-i-like-to-eat-pineapple/,B1,28
FCN-LSN-0029,Tlamachtiliztli 19 Ximoquētza (Stand Up!),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-17-lesson-17-ximoquetza-sit-down/,B1,29
FCN-LSN-0030,Tlamachtiliztli 20 Tlahtoltēcpānalitzli -pil huan -tzin (The Grammar of -pil and -tzin),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-19-lesson-19-topilcinhuan-tlahuel-cualtzin-our-little-corn-is-very-beautiful/,A1,30
FCN-LSN-0031,Tlamachtiliztli 21 Tlen ticpiyah pan millah (What We Have in the Field),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-18-lesson-18-tlen-ticpiyah-pan-millah-what-we-have-in-the-field/,A1,31
FCN-LSN-0032,Tlamachtiliztli 22 Tomīllah huah totlacualiz (Our Cornfield and Our Food),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-20-lesson-20-nomillah-huah-notlacualiztli-our-cornfield-and-our-food/,A1,32
FCN-LSN-0033,Tlamachtiliztli 23 Tlen eltoc calihtic (What is Inside the House),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-21-lesson-21-tlen-eltoc-calihtic-what-is-inside-the-house/,A1,33
FCN-LSN-0034,"Tlamachtiliztli 24 Niihhuia pan āltepētl, Part 1 (I Had Gone to the City Part 1)",https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-24-lesson-24-niihhuia-pan-altepetl-part-1-i-had-gone-to-the-city-part-1/,A2,34
FCN-LSN-0035,Tlamachtiliztli 25 Niihhuia pan altepētl Part 2 (I Had Gone to the City Part 2),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-22-lesson-22-niihhuia-pan-altepetl-i-had-gone-to-the-city/,A2,35
FCN-LSN-0036,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (I Came to Buy a Tortilla Napkin),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-23-lesson-23-niquicohuaco-ce-tlaxcalyoyomitl-i-came-to-buy-tortilla-napkins/,B1,36
FCN-LSN-0037,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (It’s market day today!),https://tlahtolli.coerll.utexas.edu/tlamactiliztli-24-lesson-24-namantzin-eltoc-tianquiz-there-is-a-market-right-now/,B1,37
FCN-LSN-0038,Tlamachtiliztli 28 Nipanoyaya mochān (I Was Passing By Your House),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-25-lesson-25-nipanoyaya-mochan-i-was-passing-by-your-house/,B1,38
FCN-LSN-0039,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (What Illnesses Do You Know?),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-26-lesson-25-tlen-cocoliztli-tiquixmati-what-illnesses-do-you-know/,B1,39
FCN-LSN-0040,"Tlamachtiliztli 30 -zquia, -tozquia (The conditional, Part 1)",https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-30-lesson-30-zquia-tozquia-the-condicional-part-1/,A1,40
FCN-LSN-0041,"Tlamachtiliztli 31 Tlacotōntli huan tlaochpanāliztli: Cleansing ceremonies, the conditional. Part 2)",https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-31-lesson-31-tlacotontli-huan-tlaochpanaliztli-cleansing-ceremonies-the-conditional-part-2/,A1,41
FCN-LSN-0042,"Tlamachtiliztli 32 Tē- and tla-: Non-specific object markers, Part 1",https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-32-lesson-32-te-y-tla-non-specific-objects-te-y-tla/,A1,42
FCN-LSN-0043,Nāhuatlahtolli – A Beginner to Advanced Level Nahuatl Online Course,https://tlahtolli.coerll.utexas.edu,B1,43
FCN-LSN-0044,Nāhuatlahtolli – Un curso de nahuatl en línea de nivel básico a avanzado,https://tlahtolli.coerll.utexas.edu/es/inicio/#content,A1,44
FCN-LSN-0045,Idioma,https://tlahtolli.coerll.utexas.edu/es/el-idioma/,A1,45
FCN-LSN-0046,Fondos,https://tlahtolli.coerll.utexas.edu/es/fondos/,A1,46
FCN-LSN-0047,Equipo,https://tlahtolli.coerll.utexas.edu/es/equipo/,A1,47
FCN-LSN-0048,Recursos,https://tlahtolli.coerll.utexas.edu/es/recursos/,A1,48
FCN-LSN-0049,Unidades,https://tlahtolli.coerll.utexas.edu/es/unidades/,A1,49
FCN-LSN-0050,Introducción,https://tlahtolli.coerll.utexas.edu/es/introduccion-a-las-lecciones/,A1,50
FCN-LSN-0051,Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).,https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-ce-leccion-1-piltlahcuiloltzitzin-el-alfabeto/,A1,51
FCN-LSN-0052,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztle-2-leccion-2-nicpiya-tlahtlaniliztli-yo-tengo-una-pregunta/,A1,52
FCN-LSN-0053,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-3-leccion-3-na-niehua-tecomate-chicontepec-yo-soy-de-tecomate-chicontepec/,A1,53
FCN-LSN-0054,Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-4-leccion-4-ixnezcayotl-huan-tlapohualiztli-los-colores-y-los-numeros/,A2,54
FCN-LSN-0055,Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-5-leccion-5-cehcen-inintequiuh-las-profesiones/,A2,55
FCN-LSN-0056,Contacto,https://tlahtolli.coerll.utexas.edu/es/contacto/,A1,56
FCN-LSN-0057,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-6-leccion-6-tlachihualiztli-los-verbos/,B1,57
FCN-LSN-0058,Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-7-leccion-7-queniuhqui-moxeloa-tonatiuh-como-se-reparte-el-dia/,B1,58
FCN-LSN-0059,Tlamachtiliztli 8 Noyōllo (Marcadores posesivos),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-8-leccion-8-noyollo-marcadores-posesivos/,B1,59
FCN-LSN-0060,Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-9-leccion-9-teixmatcacuahuitl-la-familia/,B1,60
FCN-LSN-0061,Tlamachtiliztli 10 Notlachiyaliz (Mi apariencia),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-10-leccion-10-notlachiyaliz-mi-apariencia/,B1,61
FCN-LSN-0062,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (Cuando se saluda y se despide),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-11-leccion-11-quemman-motlahpaloa-huan-monahuatihtehua-cuando-se-saluda-y-se-despide/,A1,62
FCN-LSN-0063,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Verbos en tiempo futuro e indefinido),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-12-leccion-12-tlachihualiztli-achiyoc-verbos-en-tiempo-futuro-e-indefinido/,A1,63
FCN-LSN-0064,Tlamachtiliztli 13 Tlachīhualiztli tlen quimanēxtia ācquiya quichīhua cē tlamantli (Verbos con objetos específicos),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-13-leccion-13-tlachihualiztli-achiyoc-verbos-con-objetos-especificos/,A1,64
FCN-LSN-0065,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc. Parte 1 (Verbos en tiempo pretérito Parte 1),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-14-leccion-14-tlachihualiztli-achiyoc-el-tiempo-preterito-pasado/,A2,65
FCN-LSN-0066,Tlamachtiliztli 15 Tlachīhualiztli tlen panoc. Parte 2 (Verbos en tiempo pretérito Parte 2),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-15-leccion-15-tlachihualiztli-tlen-panoc-parte-2-verbos-en-tiempo-preterito-parte-2/,A2,66
FCN-LSN-0067,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Parte 3 (Verbos en tiempo pretérito Parte 3),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-16-leccion-16-tlachihualiztli-tlen-panoc-parte-3-verbos-en-tiempo-preterito-parte-3/,B1,67
FCN-LSN-0068,Tlamachtiliztli 17 Na nimocēhuia pan cuaciyah (Yo me siento en la silla),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-15-leccion-15-na-nimocehuia-pan-cuaciyah-yo-me-siento-en-la-silla/,B1,68
FCN-LSN-0069,Tlamachtiliztli 18 Tlen nicāmati huan tlen ax nicāmati (Que me gusta y no me gusta hacer),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-caxtolli-huan-ce-leccion-16-nicamati-niccua-matzahtli-a-mi-me-gusta-comer-la-pina/,B1,69
FCN-LSN-0070,Tlamachtiliztli 19 Ximoquētza (¡Levántate!),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-17-leccion-17-ximoquetza-sientate/,B1,70
FCN-LSN-0071,Tlamachtiliztli 20 Tlahtoltēcpanalitzli -pil huan -tzin (La gramática del -pil y -tzin),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-19-leccion-19-topilcinhuan-tlahuel-cualtzin-nuestro-maicito-es-muy-bonito/,A1,71
FCN-LSN-0072,Tlamachtiliztli 21 Tlen ticpiyah pan mīllah (Lo que tenemos en la milpa),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-18-leccion-18-tlen-ticpiyah-pan-millah-lo-que-tenemos-en-la-milpa/,A1,72
FCN-LSN-0073,Tlamachtiliztli 22 Tomillāh huah totlacualiz (Nuestra milpa y nuestra comida),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-20-leccion-20-nomillah-huah-notlacualiztli-nuestra-milpa-y-nuestra-comida/,A1,73
FCN-LSN-0074,Tlamachtiliztli 23 Tlen eltoc calihtic (Que hay dentro de la casa),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-21-leccion-21-tlen-eltoc-calihtic-que-hay-dentro-de-la-casa/,A1,74
FCN-LSN-0075,Tlamachtiliztli 24 Niihhuia pan āltepētl Part 1 (Yo había ido a la ciudad Part 1),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-24-lesson-24-niihhuia-pan-altepetl-part-1-i-had-gone-to-the-city-part-1-2/,A2,75
FCN-LSN-0076,Tlamachtiliztli 25 Niihhuia pan āltepētl Parte 2 (Yo había ido a la ciudad Parte 2),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-22-leccion-22-niihhuia-pan-altepetl-yo-habia-ido-a-la-ciudad/,A2,76
FCN-LSN-0077,Tlamachtiliztli 26 Niquicōhuaco cē tlaxcalyoyomitl (Yo vine a comprar una servilleta de tortillas),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-23-leccion-23-niquicohuaco-ce-tlaxcalyoyomitl-yo-vine-a-comprar-una-servilleta-de-tortillas/,B1,77
FCN-LSN-0078,Tlamachtiliztli 27 Namantzin eltoc tiānquiz (Ahorita hay mercado),https://tlahtolli.coerll.utexas.edu/es/tlamactiliztli-24-leccion-24-namantzin-eltoc-tianquiz-ahorita-hay-tianquiz/,B1,78
FCN-LSN-0079,Tlamachtiliztli 28 Nipanoyaya mochān (Yo pasaba por tu casa),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-25-leccion-25-nipanoyaya-moichan-yalhuaya-yo-pasaba-por-tu-casa-ayer/,B1,79
FCN-LSN-0080,Tlamachtiliztli 29 ¿Tlen cocōliztli tiquixmati? (¿Cuáles enfermedades conoces?),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-26-leccion-25-tlen-cocoliztli-tiquixmati-que-enfermedades-conoces/,B1,80
FCN-LSN-0081,Tlamachtiliztli 30 Los sufijos -zquia y -tozquia (El modo condicional Parte 1),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-30-leccion-30-zquia-tozquia-el-modo-condicional/,A1,81
FCN-LSN-0082,Tlamachtiliztli 31 Tlacotōntli huan Tlaochpānaliztli (Las ceremonias de limpia. El condicional Parte 2),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-31-leccion-31-tlacotontli-huan-tlaochpanaliztli-las-ceremonias-de-limpia-el-condicional-parte-2/,A1,82
FCN-LSN-0083,Tlamachtiliztli 32 Tē- y tla- (Objetos no específicos. Parte 1),https://tlahtolli.coerll.utexas.edu/es/tlamachtiliztli-32-leccion-32-te-y-tla-objetos-no-especificos-te-y-tla/,A1,83
FCN-LSN-0084,Language,https://tlahtolli.coerll.utexas.edu/the-language/#content,A1,84
FCN-LSN-0085,Funding,https://tlahtolli.coerll.utexas.edu/grant/#content,A1,85
FCN-LSN-0086,Team,https://tlahtolli.coerll.utexas.edu/the-team/#content,A1,86
FCN-LSN-0087,Resources,https://tlahtolli.coerll.utexas.edu/resources/#content,A1,87
FCN-LSN-0088,Units,https://tlahtolli.coerll.utexas.edu/units/#content,A1,88
FCN-LSN-0089,Introduction,https://tlahtolli.coerll.utexas.edu/introduction/#content,A1,89
FCN-LSN-0090,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-ce-lesson-1-piltlahcuiloltzitzin-the-alphabet/#content,A1,90
FCN-LSN-0091,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-2-lesson-2-nicpiya-tlahtlaniliztli-i-have-a-question/#content,A1,91
FCN-LSN-0092,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-2-lesson-2-nicpiya-tlahtlaniliztli-i-have-a-question/#translation_txt,A1,92
FCN-LSN-0093,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-3-lesson-3-na-niehua-tecomate-chicontepec-i-am-from-tecomate-chicontepec/#content,A1,93
FCN-LSN-0094,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-4-lesson-4-ixnezcayotl-huan-tlapohualiztli-colors-and-numbers/#content,A2,94
FCN-LSN-0095,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-5-lesson-5-cehcen-inintequiuh-the-professions/#content,A2,95
FCN-LSN-0096,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-5-lesson-5-cehcen-inintequiuh-the-professions/#translation_txt,A2,96
FCN-LSN-0097,Contact,https://tlahtolli.coerll.utexas.edu/contact/#content,A1,97
FCN-LSN-0098,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-6-lesson-6-tlachihualiztli-verbs/#content,B1,98
FCN-LSN-0099,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-7-lesson-7-queniuhqui-moxeloa-tonatiuh-how-to-break-up-the-day/#content,B1,99
FCN-LSN-0100,Tlamachtiliztli 8 Noyōllo (Possessive markers),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-8-lesson-8-noyollo-possessive-markers/#content,B1,100
